,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
10951,Próprio-Já Pago,Sim,Sim,1144.0,+1000,Sim,Sim
10953,Próprio-Já Pago,Sim,Sim,3810.0,+1000,Sim,Sim
10954,Próprio-Já Pago,Sim,Sim,2110.0,+1000,Sim,Sim
10958,Alugado,Não,Sim,2000.0,+1000,Sim,Não
10961,Próprio-Já Pago,Não,Sim,717.0,800,Sim,Não
10962,Próprio-Já Pago,Sim,Sim,11150.0,+1000,Sim,Sim
10964,Próprio-Já Pago,Não,Sim,1357.0,+1000,Sim,Não
10965,Próprio-Já Pago,Sim,Sim,5654.0,+1000,Sim,Sim
10966,Próprio-Já Pago,Sim,Sim,2996.0,+1000,Sim,Sim
10967,Próprio-Já Pago,Sim,Sim,13100.0,+1000,Sim,Sim
10973,Alugado,Não,Não,140.0,200,Não,Não
10975,Alugado,Sim,Não,1500.0,+1000,Não,Sim
10976,Alugado,Sim,Sim,2000.0,+1000,Sim,Sim
10980,Próprio-Já Pago,Sim,Sim,1098.0,+1000,Sim,Sim
10984,Próprio-Já Pago,Sim,Sim,7000.0,+1000,Sim,Sim
10986,Próprio-Já Pago,Sim,Sim,5425.0,+1000,Sim,Sim
10994,Próprio-Já Pago,Sim,Sim,7500.0,+1000,Sim,Sim
10997,Próprio-Já Pago,Sim,Sim,2685.0,+1000,Sim,Sim
10998,Próprio-Já Pago,Sim,Sim,7007.0,+1000,Sim,Sim
10999,Alugado,Não,Sim,1033.0,+1000,Sim,Não
11000,Próprio-Já Pago,Sim,Sim,2500.0,+1000,Sim,Sim
11002,Próprio-Já Pago,Sim,Sim,2025.0,+1000,Sim,Sim
11015,Alugado,Sim,Sim,1500.0,+1000,Sim,Sim
11024,Próprio-Já Pago,Sim,Sim,1570.0,+1000,Sim,Sim
11027,Próprio-Já Pago,Sim,Sim,1340.0,+1000,Sim,Sim
11031,Próprio-Já Pago,Sim,Sim,5932.0,+1000,Sim,Sim
11032,Próprio-Já Pago,Sim,Sim,3750.0,+1000,Sim,Sim
11033,Próprio-Já Pago,Sim,Sim,5886.0,+1000,Sim,Sim
11036,Próprio-Já Pago,Sim,Sim,999999999999.0,+1000,Sim,Sim
11038,Próprio-Já Pago,Sim,Sim,2500.0,+1000,Sim,Sim
11043,Próprio-Já Pago,Sim,Sim,1615.0,+1000,Sim,Sim
11054,Próprio-Já Pago,Não,Sim,1800.0,+1000,Sim,Não
11058,Próprio-Já Pago,Sim,Sim,1250.0,+1000,Sim,Sim
11059,Alugado,Sim,Sim,1900.0,+1000,Sim,Sim
11061,Próprio-Já Pago,Sim,Sim,8000.0,+1000,Sim,Sim
11062,Alugado,Sim,Sim,12150.0,+1000,Sim,Sim
11063,Próprio-Já Pago,Sim,Sim,5325.0,+1000,Sim,Sim
11064,Próprio-Já Pago,Sim,Sim,7000.0,+1000,Sim,Sim
11065,Próprio-Ainda Pagando,Sim,Sim,6800.0,+1000,Sim,Sim
11066,Próprio-Já Pago,Sim,Sim,5100.0,+1000,Sim,Sim
11067,Próprio-Já Pago,Sim,Sim,666.0,700,Sim,Sim
11069,Próprio-Já Pago,Sim,Sim,9000.0,+1000,Sim,Sim
11070,Próprio-Já Pago,Sim,Sim,11050.0,+1000,Sim,Sim
11072,Próprio-Já Pago,Sim,Sim,8000.0,+1000,Sim,Sim
11073,Próprio-Já Pago,Sim,Sim,1850.0,+1000,Sim,Sim
11074,Próprio-Já Pago,Sim,Sim,11000.0,+1000,Sim,Sim
11077,Próprio-Já Pago,Sim,Sim,2700.0,+1000,Sim,Sim
11078,Próprio-Já Pago,Não,Sim,1233.0,+1000,Sim,Não
11079,Alugado,Não,Sim,572.0,600,Sim,Não
11080,Próprio-Já Pago,Não,Sim,2500.0,+1000,Sim,Não
11086,Próprio-Já Pago,Sim,Sim,1571.0,+1000,Sim,Sim
11087,Alugado,Não,Sim,2633.0,+1000,Sim,Não
11091,Próprio-Já Pago,Sim,Sim,999999999999.0,+1000,Sim,Sim
11092,Próprio-Já Pago,Sim,Sim,5000.0,+1000,Sim,Sim
11093,Alugado,Não,Sim,1315.0,+1000,Sim,Não
11094,Próprio-Ainda Pagando,Sim,Sim,4500.0,+1000,Sim,Sim
11098,Próprio-Já Pago,Sim,Sim,2800.0,+1000,Sim,Sim
11100,Próprio-Já Pago,Sim,Sim,1200.0,+1000,Sim,Sim
